Filename,Optimal Unroll Factor
s10_1024_add_0.c,16
s10_1024_add_1.c,32
s10_1024_add_2.c,16
s10_1024_add_3.c,32
s10_1024_add_4.c,64
s10_1024_mul_0.c,1
s10_1024_mul_1.c,1
s10_1024_mul_2.c,1
s10_1024_mul_3.c,1
s10_1024_mul_4.c,1
s10_1024_sub_0.c,128
s10_1024_sub_1.c,64
s10_1024_sub_2.c,64
s10_1024_sub_3.c,128
s10_1024_sub_4.c,64
s10_128_add_0.c,64
s10_128_add_1.c,32
s10_128_add_2.c,64
s10_128_add_3.c,16
s10_128_add_4.c,16
s10_128_mul_0.c,64
s10_128_mul_1.c,1
s10_128_mul_2.c,128
s10_128_mul_3.c,1
s10_128_mul_4.c,1
s10_128_sub_0.c,64
s10_128_sub_1.c,64
s10_128_sub_2.c,64
s10_128_sub_3.c,64
s10_128_sub_4.c,64
s10_16384_add_0.c,32
s10_16384_add_1.c,32
s10_16384_add_2.c,32
s10_16384_add_3.c,32
s10_16384_add_4.c,32
s10_16384_mul_0.c,32
s10_16384_mul_1.c,1
s10_16384_mul_2.c,1
s10_16384_mul_3.c,32
s10_16384_mul_4.c,32
s10_16384_sub_0.c,2
s10_16384_sub_1.c,2
s10_16384_sub_2.c,1
s10_16384_sub_3.c,1
s10_16384_sub_4.c,1
s10_2048_add_0.c,64
s10_2048_add_1.c,32
s10_2048_add_2.c,32
s10_2048_add_3.c,8
s10_2048_add_4.c,8
s10_2048_mul_0.c,1
s10_2048_mul_1.c,1
s10_2048_mul_2.c,1
s10_2048_mul_3.c,32
s10_2048_mul_4.c,32
s10_2048_sub_0.c,64
s10_2048_sub_1.c,128
s10_2048_sub_2.c,64
s10_2048_sub_3.c,64
s10_2048_sub_4.c,128
s10_256_add_0.c,32
s10_256_add_1.c,16
s10_256_add_2.c,16
s10_256_add_3.c,32
s10_256_add_4.c,32
s10_256_mul_0.c,128
s10_256_mul_1.c,1
s10_256_mul_2.c,32
s10_256_mul_3.c,1
s10_256_mul_4.c,128
s10_256_sub_0.c,64
s10_256_sub_1.c,64
s10_256_sub_2.c,64
s10_256_sub_3.c,64
s10_256_sub_4.c,64
s10_4096_add_0.c,32
s10_4096_add_1.c,16
s10_4096_add_2.c,32
s10_4096_add_3.c,16
s10_4096_add_4.c,32
s10_4096_mul_0.c,1
s10_4096_mul_1.c,1
s10_4096_mul_2.c,32
s10_4096_mul_3.c,1
s10_4096_mul_4.c,32
s10_4096_sub_0.c,2
s10_4096_sub_1.c,1
s10_4096_sub_2.c,1
s10_4096_sub_3.c,2
s10_4096_sub_4.c,1
s10_512_add_0.c,32
s10_512_add_1.c,16
s10_512_add_2.c,32
s10_512_add_3.c,32
s10_512_add_4.c,16
s10_512_mul_0.c,128
s10_512_mul_1.c,64
s10_512_mul_2.c,64
s10_512_mul_3.c,128
s10_512_mul_4.c,32
s10_512_sub_0.c,64
s10_512_sub_1.c,64
s10_512_sub_2.c,128
s10_512_sub_3.c,64
s10_512_sub_4.c,64
s10_64_add_0.c,16
s10_64_add_1.c,32
s10_64_add_2.c,64
s10_64_add_3.c,64
s10_64_add_4.c,64
s10_64_mul_0.c,64
s10_64_mul_1.c,128
s10_64_mul_2.c,64
s10_64_mul_3.c,64
s10_64_mul_4.c,64
s10_64_sub_0.c,64
s10_64_sub_1.c,64
s10_64_sub_2.c,64
s10_64_sub_3.c,64
s10_64_sub_4.c,64
s10_8192_add_0.c,2
s10_8192_add_1.c,32
s10_8192_add_2.c,32
s10_8192_add_3.c,32
s10_8192_add_4.c,16
s10_8192_mul_0.c,32
s10_8192_mul_1.c,1
s10_8192_mul_2.c,32
s10_8192_mul_3.c,1
s10_8192_mul_4.c,1
s10_8192_sub_0.c,2
s10_8192_sub_1.c,1
s10_8192_sub_2.c,1
s10_8192_sub_3.c,1
s10_8192_sub_4.c,2
s1_1024_add_0.c,32
s1_1024_add_1.c,32
s1_1024_add_2.c,16
s1_1024_add_3.c,128
s1_1024_add_4.c,64
s1_1024_add_5.c,128
s1_1024_mul_0.c,1
s1_1024_mul_1.c,64
s1_1024_mul_2.c,16
s1_1024_mul_3.c,1
s1_1024_mul_4.c,16
s1_1024_mul_5.c,8
s1_1024_sub_0.c,128
s1_1024_sub_1.c,128
s1_1024_sub_2.c,128
s1_1024_sub_3.c,64
s1_1024_sub_4.c,64
s1_1024_sub_5.c,32
s11_1024_add_0.c,1
s11_1024_add_1.c,16
s11_1024_add_2.c,16
s11_1024_add_3.c,16
s11_1024_add_4.c,16
s11_1024_add_5.c,32
s11_1024_mul_0.c,1
s11_1024_mul_1.c,128
s11_1024_mul_2.c,16
s11_1024_mul_3.c,16
s11_1024_mul_4.c,16
s11_1024_mul_5.c,8
s11_1024_sub_0.c,16
s11_1024_sub_1.c,128
s11_1024_sub_2.c,32
s11_1024_sub_3.c,128
s11_1024_sub_4.c,32
s11_1024_sub_5.c,16
s11_128_add_0.c,32
s11_128_add_1.c,32
s11_128_add_2.c,32
s11_128_add_3.c,128
s11_128_add_4.c,32
s11_128_add_5.c,8
s11_128_mul_0.c,64
s11_128_mul_1.c,64
s11_128_mul_2.c,128
s11_128_mul_3.c,16
s11_128_mul_4.c,64
s11_128_mul_5.c,32
s11_128_sub_0.c,32
s11_128_sub_1.c,32
s11_128_sub_2.c,64
s11_128_sub_3.c,32
s11_128_sub_4.c,32
s11_128_sub_5.c,32
s11_16384_add_0.c,16
s11_16384_add_1.c,1
s11_16384_add_2.c,16
s11_16384_add_3.c,64
s11_16384_add_4.c,4
s11_16384_add_5.c,16
s11_16384_mul_0.c,128
s11_16384_mul_1.c,1
s11_16384_mul_2.c,16
s11_16384_mul_3.c,4
s11_16384_mul_4.c,128
s11_16384_mul_5.c,8
s11_16384_sub_0.c,2
s11_16384_sub_1.c,32
s11_16384_sub_2.c,16
s11_16384_sub_3.c,8
s11_16384_sub_4.c,8
s11_16384_sub_5.c,8
s11_2048_add_0.c,32
s11_2048_add_1.c,128
s11_2048_add_2.c,8
s11_2048_add_3.c,8
s11_2048_add_4.c,128
s11_2048_add_5.c,32
s11_2048_mul_0.c,64
s11_2048_mul_1.c,64
s11_2048_mul_2.c,8
s11_2048_mul_3.c,16
s11_2048_mul_4.c,64
s11_2048_mul_5.c,16
s11_2048_sub_0.c,64
s11_2048_sub_1.c,64
s11_2048_sub_2.c,128
s11_2048_sub_3.c,32
s11_2048_sub_4.c,32
s11_2048_sub_5.c,128
s11_256_add_0.c,32
s11_256_add_1.c,32
s11_256_add_2.c,1
s11_256_add_3.c,128
s11_256_add_4.c,32
s11_256_add_5.c,32
s11_256_mul_0.c,32
s11_256_mul_1.c,8
s11_256_mul_2.c,32
s11_256_mul_3.c,32
s11_256_mul_4.c,32
s11_256_mul_5.c,64
s11_256_sub_0.c,32
s11_256_sub_1.c,64
s11_256_sub_2.c,16
s11_256_sub_3.c,128
s11_256_sub_4.c,128
s11_256_sub_5.c,8
s1_128_add_0.c,32
s1_128_add_1.c,32
s1_128_add_2.c,8
s1_128_add_3.c,128
s1_128_add_4.c,64
s1_128_add_5.c,64
s1_128_mul_0.c,32
s1_128_mul_1.c,1
s1_128_mul_2.c,128
s1_128_mul_3.c,1
s1_128_mul_4.c,8
s1_128_mul_5.c,32
s1_128_sub_0.c,64
s1_128_sub_1.c,128
s1_128_sub_2.c,128
s1_128_sub_3.c,64
s1_128_sub_4.c,128
s1_128_sub_5.c,32
s11_4096_add_0.c,32
s11_4096_add_1.c,16
s11_4096_add_2.c,64
s11_4096_add_3.c,64
s11_4096_add_4.c,64
s11_4096_add_5.c,8
s11_4096_mul_0.c,16
s11_4096_mul_1.c,8
s11_4096_mul_2.c,8
s11_4096_mul_3.c,8
s11_4096_mul_4.c,8
s11_4096_mul_5.c,64
s11_4096_sub_0.c,8
s11_4096_sub_1.c,64
s11_4096_sub_2.c,32
s11_4096_sub_3.c,8
s11_4096_sub_4.c,8
s11_4096_sub_5.c,8
s11_512_add_0.c,32
s11_512_add_1.c,128
s11_512_add_2.c,32
s11_512_add_3.c,32
s11_512_add_4.c,32
s11_512_add_5.c,32
s11_512_mul_0.c,8
s11_512_mul_1.c,32
s11_512_mul_2.c,32
s11_512_mul_3.c,64
s11_512_mul_4.c,32
s11_512_mul_5.c,32
s11_512_sub_0.c,32
s11_512_sub_1.c,32
s11_512_sub_2.c,8
s11_512_sub_3.c,32
s11_512_sub_4.c,32
s11_512_sub_5.c,32
s1_16384_add_0.c,128
s1_16384_add_1.c,2
s1_16384_add_2.c,64
s1_16384_add_3.c,64
s1_16384_add_4.c,64
s1_16384_add_5.c,16
s1_16384_mul_0.c,32
s1_16384_mul_1.c,16
s1_16384_mul_2.c,16
s1_16384_mul_3.c,1
s1_16384_mul_4.c,16
s1_16384_mul_5.c,8
s1_16384_sub_0.c,128
s1_16384_sub_1.c,1
s1_16384_sub_2.c,4
s1_16384_sub_3.c,2
s1_16384_sub_4.c,32
s1_16384_sub_5.c,128
s11_64_add_0.c,128
s11_64_add_1.c,128
s11_64_add_2.c,32
s11_64_add_3.c,2
s11_64_add_4.c,8
s11_64_add_5.c,32
s11_64_mul_0.c,64
s11_64_mul_1.c,8
s11_64_mul_2.c,32
s11_64_mul_3.c,64
s11_64_mul_4.c,8
s11_64_mul_5.c,32
s11_64_sub_0.c,64
s11_64_sub_1.c,128
s11_64_sub_2.c,32
s11_64_sub_3.c,64
s11_64_sub_4.c,32
s11_64_sub_5.c,32
s11_8192_add_0.c,16
s11_8192_add_1.c,8
s11_8192_add_2.c,64
s11_8192_add_3.c,8
s11_8192_add_4.c,8
s11_8192_add_5.c,8
s11_8192_mul_0.c,8
s11_8192_mul_1.c,16
s11_8192_mul_2.c,16
s11_8192_mul_3.c,32
s11_8192_mul_4.c,16
s11_8192_mul_5.c,32
s11_8192_sub_0.c,8
s11_8192_sub_1.c,1
s11_8192_sub_2.c,128
s11_8192_sub_3.c,8
s11_8192_sub_4.c,2
s11_8192_sub_5.c,1
s1_2048_add_0.c,32
s1_2048_add_1.c,32
s1_2048_add_2.c,32
s1_2048_add_3.c,128
s1_2048_add_4.c,64
s1_2048_add_5.c,128
s1_2048_mul_0.c,1
s1_2048_mul_1.c,4
s1_2048_mul_2.c,32
s1_2048_mul_3.c,32
s1_2048_mul_4.c,64
s1_2048_mul_5.c,8
s1_2048_sub_0.c,32
s1_2048_sub_1.c,16
s1_2048_sub_2.c,64
s1_2048_sub_3.c,32
s1_2048_sub_4.c,64
s1_2048_sub_5.c,128
s12_1024_2_2_in_assign.c,32
s12_1024_2_2_in_ia.c,32
s12_1024_2_2_in_out.c,128
s12_1024_2_2_input_assign.c,32
s12_1024_2_2_input_ia.c,32
s12_1024_2_2_input_out.c,32
s12_1024_2_2_input_result.c,32
s12_1024_2_2_in_result.c,64
s12_1024_2_2_sa_assign.c,32
s12_1024_2_2_sa_ia.c,32
s12_1024_2_2_sa_out.c,32
s12_1024_2_2_sa_result.c,32
s12_1024_2_2_short_a_assign.c,32
s12_1024_2_2_short_a_ia.c,16
s12_1024_2_2_short_a_out.c,8
s12_1024_2_2_short_a_result.c,16
s12_1024_2_4_in_assign.c,128
s12_1024_2_4_in_ia.c,16
s12_1024_2_4_in_out.c,16
s12_1024_2_4_input_assign.c,64
s12_1024_2_4_input_ia.c,128
s12_1024_2_4_input_out.c,16
s12_1024_2_4_input_result.c,16
s12_1024_2_4_in_result.c,64
s12_1024_2_4_sa_assign.c,16
s12_1024_2_4_sa_ia.c,64
s12_1024_2_4_sa_out.c,8
s12_1024_2_4_sa_result.c,16
s12_1024_2_4_short_a_assign.c,16
s12_1024_2_4_short_a_ia.c,16
s12_1024_2_4_short_a_out.c,16
s12_1024_2_4_short_a_result.c,16
s12_1024_2_in_assign.c,128
s12_1024_2_in_ia.c,64
s12_1024_2_in_out.c,2
s12_1024_2_input_assign.c,4
s12_1024_2_input_ia.c,1
s12_1024_2_input_out.c,8
s12_1024_2_input_result.c,16
s12_1024_2_in_result.c,128
s12_1024_2_sa_assign.c,64
s12_1024_2_sa_ia.c,128
s12_1024_2_sa_out.c,64
s12_1024_2_sa_result.c,16
s12_1024_2_short_a_assign.c,64
s12_1024_2_short_a_ia.c,8
s12_1024_2_short_a_out.c,64
s12_1024_2_short_a_result.c,64
s12_1024_in_assign.c,64
s12_1024_in_ia.c,64
s12_1024_in_out.c,128
s12_1024_input_assign.c,64
s12_1024_input_ia.c,64
s12_1024_input_out.c,64
s12_1024_input_result.c,32
s12_1024_in_result.c,16
s12_1024_sa_assign.c,64
s12_1024_sa_ia.c,64
s12_1024_sa_out.c,64
s12_1024_sa_result.c,32
s12_1024_short_a_assign.c,128
s12_1024_short_a_ia.c,64
s12_1024_short_a_out.c,64
s12_1024_short_a_result.c,128
s12_128_2_2_in_assign.c,64
s12_128_2_2_in_ia.c,64
s12_128_2_2_in_out.c,64
s12_128_2_2_input_assign.c,64
s12_128_2_2_input_ia.c,8
s12_128_2_2_input_out.c,32
s12_128_2_2_input_result.c,64
s12_128_2_2_in_result.c,16
s12_128_2_2_sa_assign.c,16
s12_128_2_2_sa_ia.c,8
s12_128_2_2_sa_out.c,64
s12_128_2_2_sa_result.c,16
s12_128_2_2_short_a_assign.c,32
s12_128_2_2_short_a_ia.c,128
s12_128_2_2_short_a_out.c,64
s12_128_2_2_short_a_result.c,32
s12_128_2_4_in_assign.c,64
s12_128_2_4_in_ia.c,2
s12_128_2_4_in_out.c,32
s12_128_2_4_input_assign.c,128
s12_128_2_4_input_ia.c,32
s12_128_2_4_input_out.c,32
s12_128_2_4_input_result.c,4
s12_128_2_4_in_result.c,16
s12_128_2_4_sa_assign.c,32
s12_128_2_4_sa_ia.c,64
s12_128_2_4_sa_out.c,32
s12_128_2_4_sa_result.c,128
s12_128_2_4_short_a_assign.c,32
s12_128_2_4_short_a_ia.c,64
s12_128_2_4_short_a_out.c,8
s12_128_2_4_short_a_result.c,32
s12_128_2_in_assign.c,8
s12_128_2_in_ia.c,16
s12_128_2_in_out.c,128
s12_128_2_input_assign.c,32
s12_128_2_input_ia.c,64
s12_128_2_input_out.c,4
s12_128_2_input_result.c,4
s12_128_2_in_result.c,32
s12_128_2_sa_assign.c,64
s12_128_2_sa_ia.c,64
s12_128_2_sa_out.c,64
s12_128_2_sa_result.c,16
s12_128_2_short_a_assign.c,4
s12_128_2_short_a_ia.c,4
s12_128_2_short_a_out.c,16
s12_128_2_short_a_result.c,8
s12_128_in_assign.c,128
s12_128_in_ia.c,64
s12_128_in_out.c,64
s12_128_input_assign.c,64
s12_128_input_ia.c,64
s12_128_input_out.c,64
s12_128_input_result.c,128
s12_128_in_result.c,128
s12_128_sa_assign.c,128
s12_128_sa_ia.c,128
s12_128_sa_out.c,64
s12_128_sa_result.c,64
s12_128_short_a_assign.c,128
s12_128_short_a_ia.c,128
s12_128_short_a_out.c,64
s12_128_short_a_result.c,128
s12_16384_2_2_in_assign.c,32
s12_16384_2_2_in_ia.c,16
s12_16384_2_2_in_out.c,16
s12_16384_2_2_input_assign.c,16
s12_16384_2_2_input_ia.c,32
s12_16384_2_2_input_out.c,4
s12_16384_2_2_input_result.c,16
s12_16384_2_2_in_result.c,32
s12_16384_2_2_sa_assign.c,32
s12_16384_2_2_sa_ia.c,32
s12_16384_2_2_sa_out.c,4
s12_16384_2_2_sa_result.c,16
s12_16384_2_2_short_a_assign.c,4
s12_16384_2_2_short_a_ia.c,32
s12_16384_2_2_short_a_out.c,32
s12_16384_2_2_short_a_result.c,32
s12_16384_2_4_in_assign.c,8
s12_16384_2_4_in_ia.c,8
s12_16384_2_4_in_out.c,16
s12_16384_2_4_input_assign.c,8
s12_16384_2_4_input_ia.c,8
s12_16384_2_4_input_out.c,8
s12_16384_2_4_input_result.c,16
s12_16384_2_4_in_result.c,8
s12_16384_2_4_sa_assign.c,8
s12_16384_2_4_sa_ia.c,16
s12_16384_2_4_sa_out.c,4
s12_16384_2_4_sa_result.c,16
s12_16384_2_4_short_a_assign.c,8
s12_16384_2_4_short_a_ia.c,16
s12_16384_2_4_short_a_out.c,8
s12_16384_2_4_short_a_result.c,16
s12_16384_2_in_assign.c,1
s12_16384_2_in_ia.c,16
s12_16384_2_in_out.c,16
s12_16384_2_input_assign.c,16
s12_16384_2_input_ia.c,2
s12_16384_2_input_out.c,16
s12_16384_2_input_result.c,2
s12_16384_2_in_result.c,2
s12_16384_2_sa_assign.c,4
s12_16384_2_sa_ia.c,2
s12_16384_2_sa_out.c,1
s12_16384_2_sa_result.c,2
s12_16384_2_short_a_assign.c,16
s12_16384_2_short_a_ia.c,2
s12_16384_2_short_a_out.c,4
s12_16384_2_short_a_result.c,16
s12_16384_in_assign.c,8
s12_16384_in_ia.c,16
s12_16384_in_out.c,16
s12_16384_input_assign.c,16
s12_16384_input_ia.c,16
s12_16384_input_out.c,16
s12_16384_input_result.c,64
s12_16384_in_result.c,16
s12_16384_sa_assign.c,32
s12_16384_sa_ia.c,64
s12_16384_sa_out.c,16
s12_16384_sa_result.c,64
s12_16384_short_a_assign.c,32
s12_16384_short_a_ia.c,64
s12_16384_short_a_out.c,64
s12_16384_short_a_result.c,64
s12_2048_2_2_in_assign.c,32
s12_2048_2_2_in_ia.c,32
s12_2048_2_2_in_out.c,32
s12_2048_2_2_input_assign.c,32
s12_2048_2_2_input_ia.c,32
s12_2048_2_2_input_out.c,32
s12_2048_2_2_input_result.c,16
s12_2048_2_2_in_result.c,32
s12_2048_2_2_sa_assign.c,32
s12_2048_2_2_sa_ia.c,32
s12_2048_2_2_sa_out.c,32
s12_2048_2_2_sa_result.c,16
s12_2048_2_2_short_a_assign.c,32
s12_2048_2_2_short_a_ia.c,32
s12_2048_2_2_short_a_out.c,32
